artist_id,artist_name,followers,popularity,genres,num_genres
1daC6WKGAm52YZbL5G7zYg,Plump DJs,37095,30,"breakbeat, big beat",2
2yrbLiuBmc9j81lTX3XUuI,The Jacksons,2012397,61,"disco, motown, philly soul",3
0pqGj6vO9YHsXuZmaJaP2Y,Jan & Dean,119898,41,"surf rock, doo-wop",2
0d71FlLkqZzdpEQifcngQq,Julliany Souza,513760,68,"gospel, devotional, brazilian evangelical music, worship",4
4YgUVg4p7xtMOrOS4GjiJZ,Jatin-Lalit,412534,71,"bollywood, hindi pop, desi",3
2ohlvFf9PBsDELdRstPtlP,Ferry Corsten,284022,57,"trance, progressive trance",2
0GJpYdmVCgg90TkyB1nB1y,Stacey Pullen,13017,19,"chicago house, techno",2
40SRPccslwLmXEIf9hZUJu,Frankie Carle,3104,24,"exotica, big band, ragtime",3
6swg1JhIcRgZCqAHi3MDp9,Crimson Sun,9645,32,"melodic metal, symphonic metal, power metal",3
1xUhNgw4eJDZfvumIpcz1B,Children Of Bodom,781370,58,"melodic death metal, metal, death metal, melodic metal",4
03GruNQP8X25PCoWzdvIGZ,Klaus Badelt,137572,65,soundtrack,1
5l9wiTZVfqQTfMDOt0HtwC,Tiga,139067,50,electroclash,1
64aJYyrXljOodnUG6jvhRD,DJ Luian,2292671,77,"reggaeton, trap latino",2
3Nrfpe0tUJi4K4DXYWgMUX,BTS,78728422,88,k-pop,1
250b0Wlc5Vk0CoUsaCY84M,JENNIE,10000053,89,k-pop,1
5sK8BsvyDl4TFA6KaBf8or,Charly Black,358400,64,"dancehall, soca",2
3RNrq3jvMZxD9ZyoOZbQOD,Korn,8925926,78,"nu metal, metal, rap metal, alternative metal",4
1ZaV7vibPmLl5OCje4RRgZ,The Holy Santa Barbara,43452,51,schlagerparty,1
4f7KfxeHq9BiylGmyXepGt,Tanishk Bagchi,4995088,79,"bollywood, hindi pop, desi, desi pop, gujarati garba",5
